config_id,cloud_provider,resource_type,resource_id,setting_name,setting_value,compliant,risk_level
CFG-001,aws,s3_bucket,prod-data-bucket,public_access_block,disabled,false,critical
CFG-002,aws,s3_bucket,backup-bucket,encryption,enabled,true,low
CFG-003,aws,ec2_instance,i-0abc123,security_group_ingress,0.0.0.0/0:22,false,high
CFG-004,aws,ec2_instance,i-0abc456,imdsv2,required,true,low
CFG-005,aws,rds_instance,prod-db,backup_retention,7,true,low
CFG-006,aws,rds_instance,prod-db,encryption_at_rest,enabled,true,low
CFG-007,aws,iam_user,admin-user,mfa_enabled,false,false,high
CFG-008,aws,iam_role,ec2-role,assume_role_policy,too_permissive,false,medium
CFG-009,azure,storage_account,prodstorageacct,allow_blob_public_access,true,false,high
CFG-010,azure,storage_account,prodstorageacct,https_only,true,true,low
CFG-011,azure,virtual_machine,prod-vm-01,disk_encryption,disabled,false,high
CFG-012,azure,sql_database,prod-sql-db,tde_enabled,true,true,low
CFG-013,azure,network_security_group,prod-nsg,allow_rdp_from_internet,true,false,critical
CFG-014,azure,key_vault,prod-keyvault,soft_delete,enabled,true,low
CFG-015,gcp,storage_bucket,prod-gcs-bucket,uniform_bucket_access,disabled,false,medium
CFG-016,gcp,compute_instance,prod-instance-01,os_login,disabled,false,medium
CFG-017,gcp,compute_instance,prod-instance-01,serial_port_access,enabled,false,low
CFG-018,gcp,sql_instance,prod-cloudsql,require_ssl,false,false,high
CFG-019,gcp,iam_service_account,app-sa,key_rotation,never,false,medium
CFG-020,gcp,firewall_rule,allow-all-ingress,source_ranges,0.0.0.0/0,false,critical
CFG-021,aws,cloudtrail,organization-trail,log_file_validation,disabled,false,medium
CFG-022,aws,cloudwatch,log_group,retention_days,1,false,low
CFG-023,aws,vpc,prod-vpc,flow_logs,disabled,false,medium
CFG-024,azure,application_gateway,prod-appgw,waf_enabled,false,false,high
CFG-025,gcp,logging,project-logs,retention_days,30,true,low
